"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"NKG7.6",2.493996058861e-12,-3.7226520570974,0.046,0.289,8.36436398220802e-08,"6","NKG7"
"RBM38.4",3.43187616141609e-12,-2.01372956856929,0.034,0.284,1.15098262701573e-07,"6","RBM38"
"SMCHD1.5",3.4319295344885e-12,-1.33770829028928,0.177,0.476,1.15100052727675e-07,"6","SMCHD1"
"PPP1R2.2",3.91760227092038e-12,-1.79147849499172,0.12,0.387,1.31388544962128e-07,"6","PPP1R2"
"TERF2IP.1",4.26084311535756e-12,-2.03790053799432,0.091,0.356,1.42900156402862e-07,"6","TERF2IP"
"HIST1H4C.3",4.3386220197872e-12,-1.54396172137105,0.04,0.285,1.45508705299623e-07,"6","HIST1H4C"
"PTPRC.4",4.54755367166145e-12,-1.18423873424086,0.417,0.643,1.52515855040182e-07,"6","PTPRC"
"KMT2E.1",4.58545280475731e-12,-1.28139345625162,0.211,0.489,1.53786916165951e-07,"6","KMT2E"
"EZR.3",4.64703650660021e-12,-1.27299404983888,0.246,0.529,1.55852310358358e-07,"6","EZR"
"STK17A.2",4.95566191708245e-12,-1.73544851841788,0.063,0.321,1.66202989375111e-07,"6","STK17A"
"GLUL.4",5.70267468164695e-12,1.4103048163937,0.463,0.265,1.91256303473076e-07,"6","GLUL"
"CCND3.2",6.14838340620551e-12,-1.7485746193006,0.091,0.35,2.0620448267732e-07,"6","CCND3"
"CD48.3",6.90287572733902e-12,-1.08759083767219,0.177,0.469,2.31508646143496e-07,"6","CD48"
"PDCD4.1",7.83608431792913e-12,-1.28112625345489,0.177,0.441,2.62806595854707e-07,"6","PDCD4"
"HLA-F.2",8.63114203305805e-12,-1.31012761541873,0.211,0.486,2.89471241504701e-07,"6","HLA-F"
"CD37.3",8.91885300810584e-12,-1.20920562985258,0.223,0.508,2.99120492185854e-07,"6","CD37"
"EVL.3",1.0174458610669e-11,-1.67673626029209,0.12,0.386,3.41230992884616e-07,"6","EVL"
"NSMCE3.3",1.17873256455609e-11,-2.60708782246182,0.029,0.261,3.95323327500821e-07,"6","NSMCE3"
"ODF2L.3",1.23958273707656e-11,-2.55942964619966,0.046,0.282,4.15731258360736e-07,"6","ODF2L"
"AC245297.3.2",1.30689599018029e-11,-2.99907556001238,0.04,0.274,4.38306777186667e-07,"6","AC245297.3"
"BASP1.1",1.46887140853615e-11,1.65860459923278,0.28,0.115,4.92630092994854e-07,"6","BASP1"
"CD52.5",1.54723313637594e-11,-1.01951210151239,0.211,0.498,5.18911049277764e-07,"6","CD52"
"YPEL5.3",1.65559082339162e-11,-1.05776640353598,0.229,0.503,5.55252050349081e-07,"6","YPEL5"
"FOXO3",2.62906053583772e-11,1.86521167984748,0.274,0.115,8.81734322509256e-07,"6","FOXO3"
"ARRB2",2.85040776025928e-11,1.90564776129684,0.297,0.13,9.55969754635757e-07,"6","ARRB2"
"IL2RG.3",3.06267886888956e-11,-1.86408779009183,0.074,0.316,1.02716123904818e-06,"6","IL2RG"
"LAMP2",3.52062356983015e-11,1.79894136455938,0.291,0.124,1.18074673284964e-06,"6","LAMP2"
"PARP8.5",4.0249198939217e-11,-2.67812572774345,0.051,0.282,1.34987763402346e-06,"6","PARP8"
"PPIB.2",4.93194445265678e-11,-1.15808919293559,0.194,0.467,1.65407553053203e-06,"6","PPIB"
"EML4.3",5.85945809211605e-11,-1.83674962958272,0.086,0.33,1.96514505493388e-06,"6","EML4"
"PLP2",6.23096547332023e-11,-1.40046440234113,0.08,0.327,2.08974120044214e-06,"6","PLP2"
