"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CD3E.2",3.93012897079732e-41,-8.16022151851227,0.003,0.384,1.31808665422601e-36,"2","CD3E"
"CCL5.1",4.04526326840387e-41,-6.72748788835522,0.033,0.412,1.35670039495729e-36,"2","CCL5"
"IL4R",5.55264955636883e-41,2.15751843069592,0.348,0.093,1.86224760821498e-36,"2","IL4R"
"ZFP36",5.86162394237245e-41,-1.7959339374374,0.676,0.815,1.96587143779287e-36,"2","ZFP36"
"CD3D.2",6.55962768532742e-41,-7.64110112326564,0.006,0.385,2.19996793310511e-36,"2","CD3D"
"TLE1",2.78682307413579e-40,1.7552227967722,0.324,0.08,9.34644722603662e-36,"2","TLE1"
"RBM38",5.1261881113695e-40,1.44962906787983,0.562,0.226,1.7192209687911e-35,"2","RBM38"
"ACTB",9.08655576190763e-40,-1.26797412376536,0.943,0.946,3.04744907142858e-35,"2","ACTB"
"ARRDC2",1.07372480448542e-39,1.87007341614711,0.354,0.097,3.60105824928321e-35,"2","ARRDC2"
"ARHGAP25",1.88109055250467e-39,1.93857862789578,0.255,0.05,6.30880149499015e-35,"2","ARHGAP25"
"RIPOR2",2.12023126146821e-39,1.54599824010922,0.486,0.177,7.11083160471209e-35,"2","RIPOR2"
"WDR74",3.22908176565063e-39,1.82239586176082,0.402,0.126,1.08296944256391e-34,"2","WDR74"
"CD2.2",3.05509579772276e-38,-6.49372620865845,0.006,0.369,1.02461802864026e-33,"2","CD2"
"GNB5",4.59549490070162e-38,1.73793380163978,0.291,0.067,1.54123707979731e-33,"2","GNB5"
"FYN.1",7.14605316314272e-38,-3.3629948138029,0.105,0.463,2.3966433098548e-33,"2","FYN"
"IL7R.1",7.63178337289551e-38,-6.78814901431815,0.033,0.39,2.5595475076017e-33,"2","IL7R"
"DRAM2",4.20457893197995e-37,1.68948299322148,0.285,0.065,1.41013168220744e-32,"2","DRAM2"
"CMTM6",2.80928191740258e-36,1.06848223453854,0.586,0.251,9.42176969458477e-32,"2","CMTM6"
"GZMM.1",6.3489089359482e-36,-7.71862749219978,0.003,0.347,2.12929707893831e-31,"2","GZMM"
"MYL6",9.5284680384814e-36,-1.34153940801221,0.814,0.84,3.19565761074589e-31,"2","MYL6"
"TAF1D",1.04499908402597e-35,1.25529364781467,0.685,0.356,3.50471792800629e-31,"2","TAF1D"
"ZCCHC10",1.98817692185125e-35,1.6872057712491,0.318,0.085,6.66794776050474e-31,"2","ZCCHC10"
"P2RY10.1",4.8519603774831e-35,1.57086186848389,0.408,0.134,1.62725047140028e-30,"2","P2RY10"
"SYNGR2",3.5280529017225e-34,1.68111638705423,0.264,0.061,1.18323838217969e-29,"2","SYNGR2"
"GZMA.1",3.64449013198139e-34,-8.11061061226053,0.003,0.333,1.22228910046392e-29,"2","GZMA"
"YPEL5",4.18197158644454e-34,1.09259538512701,0.781,0.444,1.40254963066177e-29,"2","YPEL5"
"STX7",6.61865362234723e-34,1.67636848393816,0.285,0.072,2.21976405186282e-29,"2","STX7"
"CEBPD.2",1.12848368025065e-33,-5.17764595589186,0.051,0.38,3.78470856682464e-29,"2","CEBPD"
"CD7",2.2501516264449e-33,-6.13089090269103,0.012,0.339,7.5465585247709e-29,"2","CD7"
"TMEM123",4.78836073856347e-33,1.20739111735319,0.535,0.228,1.60592042449942e-28,"2","TMEM123"
"NCOA3",4.97286929337836e-33,1.5175075362856,0.369,0.118,1.66780090361324e-28,"2","NCOA3"
"SYTL3.1",9.25593268541581e-33,-3.86999977052733,0.054,0.384,3.10425470403475e-28,"2","SYTL3"
"RORA.1",4.55249519276737e-32,-4.60567089123911,0.021,0.343,1.52681583775032e-27,"2","RORA"
"TSPAN3",7.61389220673585e-32,1.19802287320728,0.312,0.086,2.55354716829507e-27,"2","TSPAN3"
"ANKRD13A",1.21439722711372e-31,2.07442254711938,0.261,0.066,4.072845420294e-27,"2","ANKRD13A"
"SESN3",1.34306492411708e-31,1.53235783880588,0.312,0.089,4.50437114250385e-27,"2","SESN3"
"GLO1",1.62608133717351e-31,1.53244621303523,0.318,0.094,5.4535515886125e-27,"2","GLO1"
"ALG13",2.16014209118508e-31,1.6298193015581,0.423,0.159,7.24468454541651e-27,"2","ALG13"
"USP8",5.76321077509286e-31,1.48470749068288,0.456,0.184,1.93286562975064e-26,"2","USP8"
"TRAC.2",5.92597667916631e-31,-4.47333066850271,0.042,0.354,1.9874540586588e-26,"2","TRAC"
"AAK1.1",6.7174976147362e-31,-4.12286084955326,0.027,0.341,2.25291435003023e-26,"2","AAK1"
"WASHC4",1.98095890386876e-30,1.67587102647552,0.294,0.083,6.64373997179505e-26,"2","WASHC4"
"SLA.1",2.02614952104178e-30,-3.17936209789821,0.111,0.422,6.79530026366992e-26,"2","SLA"
"ANXA2.1",2.38907083155055e-30,-3.13150350870189,0.153,0.46,8.01246575485424e-26,"2","ANXA2"
"NKG7.2",2.42884002293263e-30,-8.30378323865135,0.009,0.31,8.14584366891144e-26,"2","NKG7"
"CD99",3.17978211455944e-30,-1.87682768041934,0.333,0.589,1.06643532558095e-25,"2","CD99"
"EHMT1",9.53608321973861e-30,1.61445960111694,0.294,0.086,3.19821159023593e-25,"2","EHMT1"
"SP140",1.09103495253295e-29,1.6669602256171,0.348,0.116,3.65911302380501e-25,"2","SP140"
"CNTRL",1.26620862633206e-29,1.5218693010664,0.345,0.113,4.24661049099245e-25,"2","CNTRL"
"FOSL2",2.06775957487831e-29,-3.72344445448259,0.036,0.342,6.93485206222687e-25,"2","FOSL2"
"RPL22L1",4.03554506989564e-29,1.07464657324922,0.61,0.299,1.3534411055416e-24,"2","RPL22L1"
"SNX9",5.71116972483929e-29,1.07204697494754,0.453,0.176,1.9154121023166e-24,"2","SNX9"
"CTSW.2",1.12533832851464e-28,-7.04861718319754,0.003,0.29,3.77415968617241e-24,"2","CTSW"
"EIF1B",2.01797611227629e-28,1.06470967838973,0.58,0.283,6.76788828535222e-24,"2","EIF1B"
"CD3G.2",2.71520830858741e-28,-7.40602463387544,0.003,0.286,9.10626562534044e-24,"2","CD3G"
"ARL4C.1",3.33579007797415e-28,-2.67012388711913,0.162,0.451,1.11875727635097e-23,"2","ARL4C"
"PLAC8",4.18054879602689e-28,1.08515471000609,0.372,0.126,1.4020724552115e-23,"2","PLAC8"
"LGALS3.1",5.90399575939566e-28,-4.35932162503435,0.057,0.347,1.98008209778612e-23,"2","LGALS3"
"TRIM38",1.4251874765397e-27,1.27308711133302,0.417,0.163,4.77979375881883e-23,"2","TRIM38"
"IFITM3.2",4.22762238102093e-27,-5.34537002373343,0.036,0.316,1.4178599941468e-22,"2","IFITM3"
"SAMHD1",4.54758578341185e-27,-5.21924301275332,0.015,0.293,1.52516932004067e-22,"2","SAMHD1"
"PIK3R1.1",4.99767214620652e-27,-2.5151757293835,0.183,0.467,1.67611928439474e-22,"2","PIK3R1"
"CCL4.2",1.23179064121183e-26,-5.50257078200592,0.108,0.386,4.13117945249625e-22,"2","CCL4"
"CST3.2",2.68100527004876e-26,-5.16938815202038,0.099,0.372,8.99155547468953e-22,"2","CST3"
"ZNF331.1",3.28471145198963e-26,1.04101837288258,0.622,0.322,1.10162652676828e-21,"2","ZNF331"
"GZMK.2",5.8640140072797e-26,-8.75274358767123,0.003,0.266,1.96667301776147e-21,"2","GZMK"
"TRBC1.2",6.98801414809067e-26,-6.2254291583012,0.009,0.275,2.34364018498665e-21,"2","TRBC1"
"PMAIP1",7.69922033485971e-26,1.39539863155217,0.351,0.127,2.58216451590525e-21,"2","PMAIP1"
"SP110",7.69939666016143e-26,1.33144793200014,0.366,0.135,2.58222365188494e-21,"2","SP110"
"PHLDA1",3.8760748554316e-25,-4.71788167941765,0.03,0.296,1.29995798501465e-20,"2","PHLDA1"
"UPF2",5.40147370757834e-25,1.42122676021328,0.336,0.119,1.81154625204762e-20,"2","UPF2"
"RGCC",6.06379067264793e-25,-2.58581792860499,0.171,0.452,2.03367411579266e-20,"2","RGCC"
"ITK.1",7.66315773792263e-25,-5.1183215017568,0.009,0.267,2.57006984214449e-20,"2","ITK"
"USP12",9.64774984509615e-25,1.61408582335382,0.267,0.082,3.23566234304835e-20,"2","USP12"
"LEPROTL1.2",9.92186279479883e-25,-2.2984303765427,0.21,0.462,3.32759434411963e-20,"2","LEPROTL1"
"CTSD.2",1.40210199686553e-24,-3.37302164266216,0.069,0.341,4.70236967708760e-20,"2","CTSD"
"APPL1",4.55495158795639e-24,1.43459815840396,0.306,0.106,1.52763966356881e-19,"2","APPL1"
"VPS37B",1.51327079662082e-23,1.18450114598882,0.535,0.272,5.07520759770689e-19,"2","VPS37B"
"TIMP1.1",2.00459225421058e-23,-3.79726817821343,0.081,0.339,6.72300150217145e-19,"2","TIMP1"
"CCDC32",2.46420469932432e-23,1.63851116555727,0.252,0.078,8.26444972059389e-19,"2","CCDC32"
"CD247",3.9272465870996e-23,-5.67324430882336,0.009,0.251,1.31711996038146e-18,"2","CD247"
"RPA2",5.73143012208267e-23,1.39980251713964,0.3,0.105,1.92220703434409e-18,"2","RPA2"
"PPM1K",1.4623151275287e-22,1.54840380023975,0.306,0.112,4.90431247470575e-18,"2","PPM1K"
"BLOC1S2",4.8920985685848e-22,1.22403796556551,0.312,0.113,1.64071201793197e-17,"2","BLOC1S2"
"LMNA",5.49471270708547e-22,-1.98317208681989,0.267,0.509,1.84281674770233e-17,"2","LMNA"
"ITM2A.1",6.90321941120125e-22,-3.03874785382213,0.075,0.326,2.31520172612868e-17,"2","ITM2A"
"SNHG7",1.05263525427681e-21,1.03029895352825,0.486,0.236,3.53032811579357e-17,"2","SNHG7"
"SP140L",2.39593702100306e-21,1.49067145697847,0.273,0.096,8.03549358104006e-17,"2","SP140L"
"DSTN.2",3.02423114509552e-21,-3.51504399443845,0.072,0.313,1.01426664144214e-16,"2","DSTN"
"PTPN1",3.60174783576491e-21,1.09301822260326,0.396,0.169,1.20795418915884e-16,"2","PTPN1"
"ANKRD44.1",3.65625534191379e-21,1.07257705963944,0.435,0.202,1.22623491657105e-16,"2","ANKRD44"
"SYNE2.1",4.29135034604194e-21,-1.96236923001241,0.141,0.398,1.43923307905555e-16,"2","SYNE2"
"RNF125.1",5.11891382450821e-21,-3.10099385821099,0.057,0.299,1.71678131846356e-16,"2","RNF125"
"SC5D",7.84747652044857e-21,1.12813237891234,0.411,0.186,2.63188667542804e-16,"2","SC5D"
"ITGB1",2.83670588567328e-20,-2.11331097315071,0.147,0.396,9.51374419937104e-16,"2","ITGB1"
"EDEM1",4.08730828978173e-20,1.5018529701827,0.258,0.089,1.370801454227e-15,"2","EDEM1"
"RCN2",4.21635483349835e-20,1.25949501667602,0.324,0.13,1.41408108405868e-15,"2","RCN2"
"PRDM1.1",4.89975477400475e-20,-2.92251112602641,0.054,0.288,1.64327975610571e-15,"2","PRDM1"
"IQGAP2",6.49610707453362e-20,-2.99531997133353,0.033,0.261,2.17866439065709e-15,"2","IQGAP2"
"SSH2",6.7189954433165e-20,1.43198699075521,0.33,0.137,2.25341669177949e-15,"2","SSH2"
"ZBTB10",1.24004027485824e-19,1.63788968750883,0.252,0.088,4.15884707381956e-15,"2","ZBTB10"
"IGFBP7.2",1.72498208401515e-19,-5.10977432341037,0.081,0.303,5.78524491337e-15,"2","IGFBP7"
"TXN",3.85573943304746e-19,-2.3851382975171,0.162,0.391,1.29313789105546e-14,"2","TXN"
"SESN1",3.85997383114143e-19,1.60558163338941,0.27,0.101,1.29455802348821e-14,"2","SESN1"
"MCL1",4.91104105511341e-19,-1.09040777491439,0.471,0.653,1.64706494906394e-14,"2","MCL1"
"THEMIS2",5.17906913525974e-19,1.20548668439315,0.258,0.09,1.73695620658341e-14,"2","THEMIS2"
"DUSP2.1",5.76409648583931e-19,-1.64802167684399,0.258,0.479,1.93316267942079e-14,"2","DUSP2"
"METRNL.2",1.43762671214958e-18,-2.99446353127015,0.102,0.321,4.82151246720726e-14,"2","METRNL"
"TNFRSF1B",1.47141513724724e-18,-2.56006969102747,0.096,0.321,4.93483208729978e-14,"2","TNFRSF1B"
"NEAT1",1.86575958555546e-18,-1.94888825721435,0.577,0.698,6.25738449803591e-14,"2","NEAT1"
"ITM2B",1.86640470767865e-18,-1.05049521261146,0.709,0.769,6.25954810861265e-14,"2","ITM2B"
"SOCS3.2",2.68617336872877e-18,-3.13955035425964,0.168,0.382,9.00888824404256e-14,"2","SOCS3"
"PARP1",2.88819060168113e-18,1.13274005019208,0.291,0.113,9.68641363991818e-14,"2","PARP1"
"C7orf50",2.93221464618741e-18,1.02810061718242,0.285,0.109,9.83406148038334e-14,"2","C7orf50"
"ITGB2",4.12189521429455e-18,-2.20486840631908,0.186,0.396,1.38240121697011e-13,"2","ITGB2"
"GLUL.1",4.72846302245132e-18,-2.78246343689478,0.084,0.305,1.58583192846973e-13,"2","GLUL"
"ZNF24",5.87708397820135e-18,1.25343925065432,0.294,0.117,1.97105642460917e-13,"2","ZNF24"
"STX5",5.97283255378087e-18,1.08081046841527,0.27,0.102,2.00316858188703e-13,"2","STX5"
"RASGEF1B",6.87472760814555e-18,1.07205310783106,0.327,0.137,2.30564614521986e-13,"2","RASGEF1B"
"INPP5D",2.21709811520492e-17,1.32210273940311,0.342,0.151,7.43570365877426e-13,"2","INPP5D"
"EBLN3P",2.34821089432949e-17,1.27693045844043,0.264,0.1,7.87542969740225e-13,"2","EBLN3P"
"RERE",4.29083533895931e-17,1.10495498320658,0.273,0.105,1.43906035598017e-12,"2","RERE"
"RBMS1",7.07049665632556e-17,-2.83926671034929,0.054,0.261,2.37130316859847e-12,"2","RBMS1"
"LDHA",9.45423151479419e-17,-1.50628725508828,0.36,0.529,3.17076016543168e-12,"2","LDHA"
"RARRES3.1",1.53345080079118e-16,-1.98522901721067,0.141,0.354,5.14288729569346e-12,"2","RARRES3"
"MT1X.1",3.11384192853227e-16,-2.55574508442339,0.072,0.276,1.04432030599115e-11,"2","MT1X"
"TRIM44",3.18808244938351e-16,1.09855941066488,0.291,0.122,1.06921909187424e-11,"2","TRIM44"
"RGS1.1",8.29889790002346e-16,-2.36568466642588,0.123,0.33,2.78328437770987e-11,"2","RGS1"
"GABARAPL1.1",9.35097801960191e-16,-2.31098833205412,0.096,0.298,3.13613100821409e-11,"2","GABARAPL1"
"DDX27",1.04441275381896e-15,1.02450303464016,0.345,0.163,3.50275149375803e-11,"2","DDX27"
"CTSC.1",1.83927856818681e-15,-2.65982498807791,0.081,0.277,6.16857246198491e-11,"2","CTSC"
"PPIB",3.13888916072856e-15,-1.61452873285189,0.297,0.471,1.05272064672514e-10,"2","PPIB"
"PLCG2",8.79252999956686e-15,1.15964821285025,0.324,0.151,2.94883871125473e-10,"2","PLCG2"
"TWISTNB",1.15909352818133e-14,1.15118540553817,0.261,0.108,3.88736787481454e-10,"2","TWISTNB"
"RUNX3.1",1.71854230617506e-14,-1.96490136357626,0.192,0.374,5.7636471864499e-10,"2","RUNX3"
"GSN.2",2.07650263900772e-14,-3.67076915883492,0.096,0.277,6.96417455070409e-10,"2","GSN"
"ZNRD1",2.95193618904773e-14,1.32938465207302,0.276,0.123,9.90020359082828e-10,"2","ZNRD1"
"MGST3.2",5.24767878430079e-14,-2.37507434463548,0.168,0.349,1.7599665106788e-09,"2","MGST3"
"ABHD17A",5.87391143666651e-14,-2.06301668501116,0.144,0.327,1.96999241762921e-09,"2","ABHD17A"
"SELENOW",6.89272025268172e-14,-1.9181777849944,0.159,0.353,2.3116805183444e-09,"2","SELENOW"
"ANXA5",1.42222922577841e-13,-2.03677543317971,0.198,0.372,4.76987237741564e-09,"2","ANXA5"
"IFITM2.2",2.35761333706648e-13,-1.9563640976214,0.351,0.503,7.90696360985357e-09,"2","IFITM2"
"ETS1.1",2.56813458889249e-13,-1.18990325970597,0.426,0.55,8.61300978422764e-09,"2","ETS1"
"CD96.2",4.97606256078021e-13,-2.33395268160056,0.087,0.258,1.66887186163447e-08,"2","CD96"
"CRYBG1.2",8.45160994633148e-13,-1.7932312155928,0.168,0.349,2.83450094380065e-08,"2","CRYBG1"
"IL6ST.1",8.5926070950173e-13,-2.58503702324291,0.09,0.258,2.8817885675269e-08,"2","IL6ST"
"KLF3",1.07547628622057e-12,1.0105115622092,0.348,0.18,3.60693236872655e-08,"2","KLF3"
"CEBPB.1",1.70255264193944e-12,-2.00377190933751,0.237,0.399,5.7100210505365e-08,"2","CEBPB"
"MYL12B",1.91351243848537e-12,-1.06783087967749,0.553,0.629,6.41753801619222e-08,"2","MYL12B"
"CCSER2.1",2.66836587972776e-12,-1.83931260562426,0.099,0.266,8.94916548743097e-08,"2","CCSER2"
"ELOB",2.91772745177767e-12,-1.30799966490985,0.378,0.511,9.78547432777195e-08,"2","ELOB"
"EFHD2",3.36741769461139e-12,-2.06323335917805,0.105,0.275,1.12936454641877e-07,"2","EFHD2"
"ACTN4",3.58376863515592e-12,-1.91389650464481,0.174,0.339,1.20192432485859e-07,"2","ACTN4"
"TPI1",5.08916322974324e-12,-1.67165270657813,0.207,0.374,1.70680356399129e-07,"2","TPI1"
"LITAF.1",8.48214080841715e-12,-2.15330359312215,0.276,0.413,2.84474038432694e-07,"2","LITAF"
"RNF213",1.66677376438446e-11,-1.62746104689972,0.219,0.381,5.59002585099261e-07,"2","RNF213"
"PPP2R5C.2",1.85315150292402e-11,-1.27855908167504,0.375,0.494,6.21509951050657e-07,"2","PPP2R5C"
"FAM177A1",2.09640591782655e-11,-1.81037753383381,0.231,0.375,7.03092616720667e-07,"2","FAM177A1"
"FABP4.2",2.54309803599651e-11,-5.63141668985836,0.135,0.29,8.52904219312511e-07,"2","FABP4"
"RAC1.2",4.55646492616727e-11,-1.6374072200601,0.234,0.39,1.52814720693798e-06,"2","RAC1"
"SAMSN1",4.72286605544354e-11,-1.52136756305172,0.204,0.371,1.58395481767465e-06,"2","SAMSN1"
"CBLB.1",6.05929577201305e-11,-1.80360828986947,0.117,0.277,2.03216661601774e-06,"2","CBLB"
"CAPZB",7.42350518915865e-11,-1.30662841012928,0.279,0.429,2.48969517034003e-06,"2","CAPZB"
"GUK1",7.74923176526468e-11,-1.23309247513623,0.372,0.498,2.59893734943447e-06,"2","GUK1"
"PRMT2",1.62968301392289e-10,-1.51669011567028,0.18,0.338,5.46563089209458e-06,"2","PRMT2"
"DYNLT1",3.89575736111375e-10,-1.50365835214777,0.171,0.328,1.30655910377033e-05,"2","DYNLT1"
"FABP5.1",4.49336575950166e-10,-3.31232384185114,0.12,0.262,1.50698500842167e-05,"2","FABP5"
"NAMPT.1",6.53258558609832e-10,-3.05362647131396,0.225,0.359,2.19089855386565e-05,"2","NAMPT"
"CD81.1",8.16888492807812e-10,-1.09057361022575,0.568,0.63,2.73968062717884e-05,"2","CD81"
"LDHB",1.26866771789624e-09,-1.36814991677447,0.264,0.402,4.25485779228043e-05,"2","LDHB"
"CALM3",1.80316467864541e-09,-1.55550970121922,0.174,0.32,6.04745369924098e-05,"2","CALM3"
"CLIC1",1.85990735933454e-09,-1.07792156619231,0.526,0.592,6.23775730173618e-05,"2","CLIC1"
"BST2.2",2.0402462704666e-09,-1.80164713891827,0.231,0.369,6.84257794189089e-05,"2","BST2"
"PARP8.2",2.84462395627842e-09,-1.60056419218756,0.141,0.284,9.54029982456656e-05,"2","PARP8"
"UGP2",2.97269947009571e-09,-1.72573630667756,0.12,0.263,9.969839482807e-05,"2","UGP2"
"ARL6IP5",3.11729606559372e-09,-1.27138547488887,0.282,0.409,0.000104547875447882,"2","ARL6IP5"
"IVNS1ABP",3.62792245137611e-09,-2.0187668230825,0.168,0.312,0.000121673263174252,"2","IVNS1ABP"
"FLNA",6.27647468049807e-09,-1.52122643458176,0.234,0.365,0.000210500407834544,"2","FLNA"
"TSPO",1.35690563201197e-08,-1.27544312257286,0.273,0.396,0.000455079010864176,"2","TSPO"
"PAXX",1.43156234611438e-08,-1.66210881161293,0.123,0.255,0.000480117379639842,"2","PAXX"
"P4HB",1.4328421623559e-08,-1.56924092108731,0.159,0.292,0.000480546604410922,"2","P4HB"
"ADGRE5",1.91315858931399e-08,-1.1822334231357,0.267,0.401,0.000641635127684126,"2","ADGRE5"
"GSTP1.1",1.98697624937904e-08,-1.25703732820091,0.372,0.47,0.000666392094516742,"2","GSTP1"
"EGR1.2",2.94720518549333e-08,-1.36941738632756,0.21,0.338,0.000988433675110751,"2","EGR1"
"RNF19A.2",3.03469880118392e-08,-1.20377772257323,0.282,0.413,0.00101777728394106,"2","RNF19A"
"PRDX2",3.11582388452172e-08,-1.71739948199433,0.135,0.262,0.0010449850143909,"2","PRDX2"
"POLR2L",3.19428036104135e-08,-1.0944212670825,0.366,0.472,0.00107129774748605,"2","POLR2L"
"NDUFS5",4.04314125019219e-08,-1.09669520745032,0.39,0.491,0.00135598871248946,"2","NDUFS5"
"PSME2",4.27847426144067e-08,-1.44434544406372,0.198,0.327,0.00143491469780197,"2","PSME2"
"CFD.2",4.50497652765012e-08,-3.99476926629966,0.204,0.317,0.0015108790278433,"2","CFD"
"GNG2",4.80273193227541e-08,-1.27082082832291,0.138,0.271,0.00161074023544653,"2","GNG2"
"GMFG",6.03474906037119e-08,-1.11258390649369,0.351,0.446,0.00202393413986729,"2","GMFG"
"BSG",6.89480662080626e-08,-1.61037839784946,0.153,0.277,0.002312380244486,"2","BSG"
"VMP1",7.07563174652217e-08,-1.65437771302421,0.186,0.309,0.00237302537514861,"2","VMP1"
"ALOX5AP",7.101475307759e-08,-1.83608651121504,0.231,0.334,0.00238169278871621,"2","ALOX5AP"
"DNAJB1",7.5448566716438e-08,-1.03654299354929,0.204,0.341,0.0025303940305359,"2","DNAJB1"
"PLIN2",1.13042814501563e-07,-1.88631467145572,0.129,0.25,0.00379122991275341,"2","PLIN2"
"RNF115",1.37135223718395e-07,-1.42435302198469,0.135,0.258,0.00459924113306754,"2","RNF115"
"FKBP8",1.61127858425991e-07,-1.273867336856,0.177,0.306,0.00540390611589089,"2","FKBP8"
"COX8A",2.67446980623187e-07,-1.14050072625315,0.285,0.394,0.00896963683614044,"2","COX8A"
"PTGER4.1",4.30342007230241e-07,-1.30198622225676,0.147,0.266,0.0144328102384878,"2","PTGER4"
"IKZF1.1",4.36642402698665e-07,-1.27933964102997,0.267,0.371,0.0146441129017078,"2","IKZF1"
"PKM",6.44126790083133e-07,-1.45368672027297,0.147,0.264,0.0216027242858081,"2","PKM"
"RBPJ.2",6.6536609882329e-07,-1.39921975903913,0.156,0.269,0.0223150482223355,"2","RBPJ"
"TRBC2.2",7.4223279968834e-07,-1.67038958196428,0.276,0.36,0.0248930036359475,"2","TRBC2"
"NFKBIA.1",8.71981606615409e-07,-1.21756043894582,0.709,0.69,0.0292445191226676,"2","NFKBIA"
"SPOCK2.1",9.43966384745371e-07,-1.21523553088636,0.213,0.327,0.0316587446115903,"2","SPOCK2"
"LCP1",9.67214982820237e-07,-1.26010734763857,0.348,0.426,0.0324384560938251,"2","LCP1"
"PARK7",9.88589618897753e-07,-1.08800253037221,0.336,0.435,0.0331553186385928,"2","PARK7"
"ODF2L.1",1.03909059626274e-06,-1.31110483723031,0.162,0.282,0.0348490204174598,"2","ODF2L"
"NFKBIZ.1",1.3495695009768e-06,-1.93259802722844,0.183,0.287,0.04526186192376,"2","NFKBIZ"
"GYPC",1.36786911072122e-06,-1.13736573026585,0.279,0.376,0.0458755942353684,"2","GYPC"
"FKBP1A.2",1.38487340167559e-06,-1.75997239591127,0.219,0.321,0.0464458841453958,"2","FKBP1A"
"ENO1",1.49036714106144e-06,-1.09793923576412,0.321,0.417,0.0499839331769186,"2","ENO1"
"PIP4K2A.1",1.88452456380242e-06,-1.01729808790972,0.15,0.266,0.0632031848208057,"2","PIP4K2A"
"CNOT6L.2",2.18425284529255e-06,-1.03012675766549,0.381,0.454,0.0732554719254216,"2","CNOT6L"
"ISG15",3.80610682608541e-06,-1.82047580529876,0.15,0.256,0.127649210733252,"2","ISG15"
"GSTK1",4.46060606287492e-06,-1.10884193193697,0.225,0.332,0.149599806136699,"2","GSTK1"
"NDFIP1.1",5.23162042398835e-06,-1.34018536011219,0.162,0.266,0.175458085779721,"2","NDFIP1"
"CSTB",5.70672776795772e-06,-1.26621780314485,0.246,0.351,0.191392235881766,"2","CSTB"
"PSAP.2",6.70141880584073e-06,-1.83983707123883,0.246,0.335,0.224752183910286,"2","PSAP"
"PRDX5",6.78089888607636e-06,-1.35860048936909,0.219,0.316,0.227417786841229,"2","PRDX5"
"UQCRQ",9.5736906129349e-06,-1.1921755782791,0.219,0.32,0.32108243577661,"2","UQCRQ"
"XBP1",1.17669272743495e-05,-1.12790039274222,0.189,0.293,0.394639206927134,"2","XBP1"
"NDUFB7",1.19827079802814e-05,-1.3350439065056,0.18,0.274,0.401876060242679,"2","NDUFB7"
"COPS9",1.21511244366044e-05,-1.10084333323091,0.234,0.337,0.40752441135484,"2","COPS9"
"ATP5PF",1.55197767544469e-05,-1.2893258708921,0.273,0.364,0.520502272790639,"2","ATP5PF"
"COL3A1.2",1.69401645412206e-05,-3.2491019822338,0.219,0.299,0.568139238383456,"2","COL3A1"
"WNK1",2.39546993345215e-05,-1.2781639655165,0.174,0.269,0.803392706281183,"2","WNK1"
"SCP2",2.42832540638984e-05,-1.3038618172558,0.18,0.272,0.814411774795026,"2","SCP2"
"MZT2A",2.54092531355772e-05,-1.18243968286098,0.201,0.288,0.852175531660988,"2","MZT2A"
"PTP4A2",2.99100058215134e-05,-1.08198608036478,0.249,0.34,1,"2","PTP4A2"
"DDIT4",3.40718657946544e-05,-1.02111590156314,0.381,0.442,1,"2","DDIT4"
"GNB1",3.50839187443753e-05,-1.34017709954543,0.162,0.253,1,"2","GNB1"
"FTL.2",5.75738620877344e-05,-1.0080826770489,0.985,0.908,1,"2","FTL"
"ATP5MD",6.78808560624735e-05,-1.05117296840977,0.342,0.411,1,"2","ATP5MD"
"RPS27L",0.00012137841822446,-1.00977612164259,0.237,0.329,1,"2","RPS27L"
"DCN.2",0.000142514363953934,-3.56872810537617,0.276,0.334,1,"2","DCN"
"DYNLRB1",0.000183797696782813,-1.18006544311615,0.189,0.273,1,"2","DYNLRB1"
"LUM.2",0.000203678785517895,-2.86090250015332,0.201,0.268,1,"2","LUM"
"AP2M1",0.00025514303355127,-1.16132154679764,0.192,0.269,1,"2","AP2M1"
"MGP.2",0.000274250261879526,-3.34755359808247,0.345,0.385,1,"2","MGP"
"PBXIP1.1",0.000280377068632874,-1.02573548058648,0.183,0.264,1,"2","PBXIP1"
"EID1",0.000299689841606526,-1.03742693718541,0.336,0.396,1,"2","EID1"
"ATP1A1",0.000304708749578645,-1.09282622618183,0.225,0.307,1,"2","ATP1A1"
"COL1A2.2",0.000332932566927751,-3.17966020248732,0.258,0.31,1,"2","COL1A2"
"COL1A1.2",0.000369181681471015,-3.79929077702786,0.219,0.275,1,"2","COL1A1"
"MINOS1",0.000609091083106219,-1.13152244122429,0.216,0.284,1,"2","MINOS1"
"SRI",0.000681516057067881,-1.20221311565591,0.18,0.25,1,"2","SRI"
"RTN4.2",0.000894499665811563,-1.06874182612256,0.273,0.335,1,"2","RTN4"
"CANX",0.00134644062535185,-1.0286511865776,0.201,0.264,1,"2","CANX"
"TUBB.2",0.00160275439134166,-1.46494391720293,0.204,0.262,1,"2","TUBB"
"BRI3.2",0.00261975288309395,-1.43047744312885,0.228,0.28,1,"2","BRI3"
"CCDC80",7.67658316945891e-285,6.21098574303761,0.799,0.059,2.57457246337313e-280,"3","CCDC80"
"ADH1B",7.986090849254e-274,6.40855489370583,0.651,0.025,2.67837514902281e-269,"3","ADH1B"
"FBLN1",1.38222806829515e-271,5.88508568228814,0.757,0.052,4.63571649544828e-267,"3","FBLN1"
